AncillaryType,window,hours,Q_mean,Q_median,Q_p90,P_mean,P_median,P_p90,P_p99,P_max
ECRSM,fern,192.0,167.17552083333337,215.2,296.79999999999995,0.8963565683393128,0.00554864392086977,0.005873143315937374,39.80306205533599,64.33305157593124
ECRSM,post,168.0,287.0583333333333,295.9,313.2,0.02857540892878796,0.005764023210831721,0.005876447876447877,0.47686206166377515,0.5733819086547005
ECRSM,pre,24.0,298.9583333333333,298.70000000000005,307.29999999999995,0.005553816065845161,0.005554073836461027,0.005570492933471216,0.005570492933471216,0.005570492933471216
ECRSS,fern,192.0,1060490.3760416666,962167.75,1750439.7900000003,314.7972585347037,230.88197466896176,544.443746599994,1299.6812529751762,1480.3403271925074
ECRSS,post,168.0,881238.1202380952,808757.9,1310932.45,289.1687949808252,258.2288053397207,413.7376098338624,665.357140886378,724.8478710882712
ECRSS,pre,24.0,974197.35,847781.45,1351861.79,158.5265919628989,146.72752628136578,234.51781828312662,283.7594036557574,284.8476805329388
NSPIN,fern,192.0,1089669.2708333333,1086007.4500000002,1448902.79,352.2882238795018,336.35455339895435,496.70090504105116,1039.9584024771661,1061.9539614057364
NSPIN,post,168.0,922621.6083333333,902702.85,1107771.8,343.459108518,308.9825128706637,447.4114137094944,741.960127924313,818.6154937772844
NSPIN,pre,24.0,1049437.25,937486.45,1463773.0299999998,168.4325304456407,169.31750167776147,202.6350524257112,310.6463047893439,316.5966513514296
NSPNM,fern,192.0,180.5864583333333,43.2,379.80000000000007,19.347624277303016,0.8668773038441284,69.95924840192914,158.5276938791125,201.77111706197397
NSPNM,post,168.0,334.9404761904762,320.0,420.0,2.4744311002802166,1.0,7.4071428571428575,15.955547619047634,19.65714285714286
NSPNM,pre,24.0,419.95,379.8,593.4399999999998,1.2042442798868371,0.8550605581885202,1.6749783744873257,5.051132846715327,5.630061313868613
REGDN,fern,192.0,679350.4828125,646099.5,1082642.06,334.41781000923106,263.3117585632788,670.9932332498347,972.011829658841,1076.0844820430245
REGDN,post,168.0,585289.9970238095,565842.05,877942.1500000003,288.9505466689656,263.0505579836213,407.93282181893545,725.1003709207175,769.5989064363818
REGDN,pre,24.0,508667.0625,454255.44999999995,837500.97,219.4848605965657,181.0458023078544,329.0748622324778,364.84190005367367,366.3269859423441
REGUP,fern,192.0,898343.0260416666,881165.65,1234235.2100000002,271.80472599639495,172.31997880944823,662.3674975868634,1153.894335948866,1228.4729919799888
REGUP,post,168.0,658212.9553571428,656262.75,864334.85,222.62812279308952,203.06985569889906,329.81058508403913,389.49916609294934,397.6646909432297
REGUP,pre,24.0,700762.7041666666,652930.55,992587.7099999998,150.61389460367846,147.51657428059605,182.55415776308314,264.48989775238397,266.62051603604044
RRSFF,fern,192.0,460.61927083333336,449.75,597.3000000000004,1306.363886074242,1250.8623356487224,1504.6715989197482,1825.4749063744755,1844.8823811442385
RRSFF,post,168.0,494.827380952381,463.1,703.1,1367.7434176820211,1269.2281146117589,1612.8386545652174,1807.7788461538462,1822.8993951452449
RRSFF,pre,24.0,434.76250000000005,403.1,603.1,1316.2416928804857,1249.4121657157032,1537.7241373060301,1733.5770346680197,1771.1046789536267
RRSPF,fern,192.0,1417387.4182291667,1468038.75,1958673.49,299.10278672828696,191.15669025708456,659.0200406700224,1359.4941999331436,1518.5363760296357
RRSPF,post,168.0,1158762.4767857143,1219318.7,1626396.36,234.6372499092387,201.70572585131768,376.5236134981422,499.5166092545254,537.8256696497214
RRSPF,pre,24.0,1050225.2125000001,821917.3500000001,1659295.19,132.82440711859135,140.5557059614201,184.11371030993658,239.00555991406665,252.39522248927028
RRSUF,fern,192.0,806.7645833333332,840.95,1171.89,353.48683631704665,21.697199338537875,1230.8695638929382,1939.2571246902307,1955.7210031347963
RRSUF,post,168.0,659.0172619047619,601.0,848.05,0.0,0.0,0.0,0.0,0.0
RRSUF,pre,24.0,1699.0041666666668,1643.1999999999998,1782.78,2.222913472465915,2.1584624555774914,2.4587215215856357,2.5088025007738586,2.50880724710619
