Window,Product,Threshold,ExceedRate,ExceedCount,n
Pre (Jan15-21),ECRS,10,0.010228933268387726,21,2053
Pre (Jan15-21),ECRS,20,0.0029225523623964927,6,2053
Pre (Jan15-21),ECRS,50,0.0,0,2053
Pre (Jan15-21),ECRS,100,0.0,0,2053
Pre (Jan15-21),ECRS,250,0.0,0,2053
Pre (Jan15-21),REGDN,10,0.0,0,2053
Pre (Jan15-21),REGDN,20,0.0,0,2053
Pre (Jan15-21),REGDN,50,0.0,0,2053
Pre (Jan15-21),REGDN,100,0.0,0,2053
Pre (Jan15-21),REGDN,250,0.0,0,2053
Pre (Jan15-21),REGUP,10,0.007793472966390648,16,2053
Pre (Jan15-21),REGUP,20,0.0014612761811982464,3,2053
Pre (Jan15-21),REGUP,50,0.000974184120798831,2,2053
Pre (Jan15-21),REGUP,100,0.000974184120798831,2,2053
Pre (Jan15-21),REGUP,250,0.0,0,2053
Pre (Jan15-21),RRS,10,0.007793472966390648,16,2053
Pre (Jan15-21),RRS,20,0.0014612761811982464,3,2053
Pre (Jan15-21),RRS,50,0.000974184120798831,2,2053
Pre (Jan15-21),RRS,100,0.000974184120798831,2,2053
Pre (Jan15-21),RRS,250,0.0,0,2053
Fern window (Jan22-29),ECRS,10,0.021637675010606705,51,2357
Fern window (Jan22-29),ECRS,20,0.00848536274925753,20,2357
Fern window (Jan22-29),ECRS,50,0.005939753924480272,14,2357
Fern window (Jan22-29),ECRS,100,0.004242681374628765,10,2357
Fern window (Jan22-29),ECRS,250,0.0033941450997030122,8,2357
Fern window (Jan22-29),REGDN,10,0.16334323292320746,385,2357
Fern window (Jan22-29),REGDN,20,0.037335596096733134,88,2357
Fern window (Jan22-29),REGDN,50,0.003818413237165889,9,2357
Fern window (Jan22-29),REGDN,100,0.0,0,2357
Fern window (Jan22-29),REGDN,250,0.0,0,2357
Fern window (Jan22-29),REGUP,10,0.15570640644887568,367,2357
Fern window (Jan22-29),REGUP,20,0.06491302503182012,153,2357
Fern window (Jan22-29),REGUP,50,0.005515485787017395,13,2357
Fern window (Jan22-29),REGUP,100,0.004242681374628765,10,2357
Fern window (Jan22-29),REGUP,250,0.0,0,2357
Fern window (Jan22-29),RRS,10,0.017819261773440814,42,2357
Fern window (Jan22-29),RRS,20,0.006364022061943148,15,2357
Fern window (Jan22-29),RRS,50,0.004242681374628765,10,2357
Fern window (Jan22-29),RRS,100,0.004242681374628765,10,2357
Fern window (Jan22-29),RRS,250,0.0,0,2357
Post (Jan30-31),ECRS,10,0.025728987993138937,15,583
Post (Jan30-31),ECRS,20,0.0,0,583
Post (Jan30-31),ECRS,50,0.0,0,583
Post (Jan30-31),ECRS,100,0.0,0,583
Post (Jan30-31),ECRS,250,0.0,0,583
Post (Jan30-31),REGDN,10,0.0,0,583
Post (Jan30-31),REGDN,20,0.0,0,583
Post (Jan30-31),REGDN,50,0.0,0,583
Post (Jan30-31),REGDN,100,0.0,0,583
Post (Jan30-31),REGDN,250,0.0,0,583
Post (Jan30-31),REGUP,10,0.024013722126929673,14,583
Post (Jan30-31),REGUP,20,0.0,0,583
Post (Jan30-31),REGUP,50,0.0,0,583
Post (Jan30-31),REGUP,100,0.0,0,583
Post (Jan30-31),REGUP,250,0.0,0,583
Post (Jan30-31),RRS,10,0.015437392795883362,9,583
Post (Jan30-31),RRS,20,0.0,0,583
Post (Jan30-31),RRS,50,0.0,0,583
Post (Jan30-31),RRS,100,0.0,0,583
Post (Jan30-31),RRS,250,0.0,0,583
