Window,Product,n,mean,p90,p95,p99,p999,max
Pre (Jan15-21),ECRS,2053,0.42276181198246465,0.5779999999999995,1.0,11.890400000000072,36.767879999997874,43.68
Pre (Jan15-21),REGDN,2053,0.39252800779347297,0.86,1.2939999999999987,2.067200000000003,6.0,6.19
Pre (Jan15-21),REGUP,2053,0.6508718947881149,0.7279999999999995,1.4,7.494800000000001,37.18691999999673,221.97
Pre (Jan15-21),RRS,2053,0.43261081344374086,0.32799999999999957,0.6139999999999987,6.969600000000001,37.95563999999678,221.97
Fern window (Jan22-29),ECRS,2357,2.5271998302927448,3.75,5.0,17.047200000000007,343.8913599999984,399.45
Fern window (Jan22-29),REGDN,2357,4.355952481968604,15.0,20.0,25.31240000000004,60.196439999999996,71.75
Fern window (Jan22-29),REGUP,2357,5.562341960118795,15.438,26.1,40.0,177.36491999999947,218.73
Fern window (Jan22-29),RRS,2357,1.4538778107764108,1.88,2.5,15.061600000000007,174.83491999999947,216.21
Post (Jan30-31),ECRS,583,1.0555403087478559,2.988000000000001,4.0539999999999985,14.84239999999999,14.99,14.99
Post (Jan30-31),REGDN,583,0.802229845626072,2.0,2.9059999999999993,5.045799999999985,6.910480000000002,7.12
Post (Jan30-31),REGUP,583,1.4904974271012008,4.456000000000001,6.326999999999997,10.852599999999947,12.504140000000008,13.22
Post (Jan30-31),RRS,583,0.7395025728987993,1.87,3.3129999999999984,12.530799999999948,14.168900000000006,14.78
