SCEDTimestamp,Product,MCPC,RepeatedHourFlag
2026-01-28 07:40:20,ECRS,399.45,N
2026-01-28 07:35:19,ECRS,349.89,N
2026-01-28 07:25:21,ECRS,346.54,N
2026-01-28 07:15:20,ECRS,339.1,N
2026-01-28 07:20:21,ECRS,335.8,N
2026-01-28 07:45:18,ECRS,320.13,N
2026-01-28 07:30:22,ECRS,316.21,N
2026-01-28 07:10:20,ECRS,303.5,N
2026-01-28 07:10:20,REGUP,218.73,N
2026-01-28 07:10:20,RRS,216.21,N
2026-01-28 07:50:18,ECRS,203.65,N
2026-01-28 07:40:20,REGUP,202.26,N
2026-01-28 07:40:20,RRS,199.73,N
2026-01-28 07:35:19,REGUP,178.23,N
2026-01-28 07:25:21,REGUP,175.8,N
2026-01-28 07:35:19,RRS,175.7,N
2026-01-28 07:25:21,RRS,173.27,N
2026-01-28 07:15:20,REGUP,172.08,N
2026-01-28 07:20:21,REGUP,170.43,N
2026-01-28 07:15:20,RRS,169.55,N
2026-01-28 07:20:21,RRS,167.9,N
2026-01-28 07:45:18,REGUP,162.59,N
2026-01-28 07:30:22,REGUP,160.64,N
2026-01-28 07:45:18,RRS,160.06,N
2026-01-28 07:30:22,RRS,158.11,N
2026-01-28 07:05:23,ECRS,147.05,N
2026-01-28 07:05:23,REGUP,141.82,N
2026-01-28 07:05:23,RRS,139.29,N
2026-01-28 07:50:18,REGUP,104.35,N
2026-01-28 07:50:18,RRS,101.82,N
